"Rut Empresa";"codigo_sence";"Modulo CFT";"fecha_inicio";"Dia de Clases";"Hora Inicio";"Hora Termino"
71235700-2;1237859657;;09/07/2013;2;18:30;21:40
71235700-2;1237859657;;09/07/2013;4;18:30;21:40
